iter	RMSE
0	5.818469693
1	5.809779627
2	5.795970991
3	5.782759023
4	5.771049301
5	5.761232916
6	5.750905811
7	5.741967804
8	5.73578525
9	5.731608704
10	5.723010704
11	5.713489196
12	5.708867736
13	5.701259574
14	5.691808695
15	5.689243874
16	5.685436892
17	5.673837666
18	5.670470774
19	5.66295292
20	5.654759435
21	5.651139882
22	5.64102157
23	5.637866237
24	5.630655213
25	5.626378479
26	5.621915238
27	5.619286976
28	5.614935818
29	5.613275019
30	5.60928262
31	5.603224133
32	5.596456713
33	5.591002949
34	5.580682618
35	5.575962098
36	5.568211357
37	5.565055947
38	5.559854091
39	5.553896126
40	5.549260352
41	5.546755269
42	5.54325986
43	5.539909159
44	5.532765524
45	5.530152288
46	5.526593364
47	5.523318559
48	5.519976713
49	5.51636464
50	5.512839302
51	5.510512268
52	5.506829093
53	5.504012046
54	5.501817811
55	5.497809917
56	5.495426589
57	5.49224624
58	5.485796464
59	5.480641692
60	5.476295667
61	5.472750815
62	5.466202563
63	5.462432817
64	5.459284526
65	5.452951064
66	5.45035704
67	5.446913049
68	5.443578256
69	5.440457831
70	5.438732506
71	5.435797595
72	5.432180242
73	5.429560831
74	5.429244713
75	5.425459564
76	5.419081741
77	5.415579508
78	5.412418854
79	5.410473901
80	5.409001133
81	5.406464004
82	5.402223995
83	5.398784284
84	5.394189461
85	5.390987938
86	5.386844383
87	5.38195263
88	5.376855092
89	5.37123187
90	5.367778367
91	5.364036618
92	5.360955071
93	5.358782272
94	5.356701242
95	5.354679429
96	5.347397545
97	5.344958195
98	5.343110299
99	5.339983535
100	5.337157304
101	5.334814297
102	5.33275674
103	5.327935391
104	5.325987731
105	5.323147956
106	5.320787619
107	5.316500831
108	5.316285594
109	5.313188772
110	5.310403546
111	5.305016871
112	5.2996593
113	5.296413615
114	5.288690381
115	5.284082231
116	5.27958516
117	5.27742657
118	5.274454705
119	5.270699212
120	5.265927241
121	5.2626911
122	5.258135958
123	5.255859876
124	5.253754958
125	5.251097898
126	5.248969158
127	5.24614729
128	5.240217464
129	5.236784339
130	5.234417513
131	5.231112939
132	5.22858758
133	5.218958738
134	5.217685283
135	5.211496403
136	5.20791581
137	5.205737608
138	5.203631354
139	5.200466992
140	5.192768587
141	5.184788404
142	5.181721119
143	5.179543991
144	5.177146695
145	5.175475009
146	5.17073919
147	5.168235031
148	5.159858984
149	5.159029111
150	5.157287324
151	5.154072934
152	5.150797541
153	5.146026655
154	5.142217874
155	5.138142266
156	5.136977664
157	5.133413161
158	5.12863889
159	5.124551375
160	5.120214627
161	5.114651829
162	5.112358994
163	5.109962393
164	5.107865448
165	5.105775078
166	5.101072628
167	5.097072715
168	5.093864376
169	5.089358898
170	5.086187297
171	5.081579037
172	5.079463882
173	5.078377929
174	5.073547625
175	5.071593965
176	5.068814754
177	5.06698922
178	5.064285689
179	5.062505373
180	5.0559041
181	5.053964944
182	5.051072579
183	5.049466367
184	5.045904876
185	5.04244918
186	5.036562154
187	5.033044243
188	5.025412873
189	5.022257065
190	5.019964745
191	5.017413766
192	5.015270346
193	5.013074206
194	5.010202686
195	5.007917144
196	5.004164282
197	4.999262785
198	4.99668051
199	4.99392581
200	4.987974476
201	4.984919254
202	4.976841588
203	4.974529872
204	4.96968353
205	4.966283779
206	4.96422173
207	4.960989487
208	4.956718828
209	4.954983284
210	4.952825716
211	4.949951246
212	4.946808021
213	4.942976326
214	4.935128718
215	4.931164565
216	4.927292661
217	4.92082005
218	4.9172033
219	4.913463837
220	4.912352484
221	4.909260771
222	4.903878299
223	4.901854596
224	4.899032793
225	4.893063288
226	4.890032502
227	4.88889696
228	4.88467496
229	4.884319582
230	4.882342236
231	4.874131043
232	4.868637718
233	4.865243348
234	4.861300693
235	4.857648602
236	4.853996849
237	4.851015794
238	4.848004942
239	4.846326947
240	4.842414469
241	4.840323864
242	4.838159063
243	4.834187716
244	4.832071495
245	4.829778437
246	4.827663913
247	4.825067005
248	4.822888662
249	4.820613478
250	4.819141686
251	4.816738379
252	4.815037104
253	4.811932348
254	4.809233746
255	4.806882749
256	4.804597688
257	4.803240943
258	4.802165719
259	4.799821647
260	4.798343155
261	4.797091887
262	4.794604603
263	4.793112155
264	4.791534182
265	4.790342982
266	4.788860577
267	4.785637537
268	4.783783894
269	4.78105762
270	4.779486277
271	4.778522847
272	4.777299974
273	4.775190624
274	4.774115752
275	4.772271783
276	4.769541671
277	4.768533748
278	4.766548189
279	4.76567809
280	4.764437523
281	4.763325371
282	4.761798572
283	4.760738096
284	4.75949872
285	4.758501751
286	4.756878831
287	4.749960267
288	4.748910802
289	4.748426505
290	4.747470527
291	4.744914197
292	4.743812147
293	4.742880549
294	4.741733226
295	4.740821018
296	4.738334209
297	4.735898665
298	4.735141297
299	4.734255213
300	4.73289511
301	4.731473487
302	4.730614684
303	4.72976905
304	4.728452888
305	4.727498863
306	4.726205827
307	4.725194174
308	4.724198445
309	4.723218367
310	4.722228313
311	4.720972286
312	4.720010808
313	4.718774414
314	4.717555814
315	4.709406255
316	4.708441991
317	4.701929781
318	4.700729705
319	4.69981029
320	4.698878788
321	4.697709708
322	4.69585632
323	4.69471098
324	4.6867594
325	4.685628552
326	4.684763298
327	4.676996659
328	4.675891822
329	4.668371878
330	4.667280753
331	4.659843818
332	4.65902266
333	4.657948651
334	4.657046006
335	4.656375811
336	4.655716096
337	4.648507706
338	4.647465733
339	4.646438705
340	4.639312292
341	4.63829841
342	4.631390763
343	4.630389584
344	4.623640392
345	4.620979618
346	4.620098124
347	4.617536479
348	4.610933908
349	4.609949957
350	4.609082643
351	4.602630423
352	4.601659803
353	4.600703041
354	4.594397162
355	4.592141347
356	4.591292067
357	4.58659153
358	4.585647494
359	4.579324185
360	4.576737646
361	4.569690783
362	4.567506481
363	4.564978714
364	4.560323235
365	4.554088196
366	4.550488094
367	4.545469694
368	4.540872259
369	4.534899017
370	4.530277669
371	4.528118568
372	4.527183108
373	4.522638728
374	4.521709568
375	4.520793674
376	4.517216758
377	4.512735023
378	4.50600782
379	4.502198355
380	4.501292754
381	4.500400036
382	4.495558668
383	4.492012175
384	4.491130191
385	4.486692464
386	4.485822238
387	4.482319871
388	4.47980075
389	4.476103364
390	4.472644266
391	4.469009503
392	4.464620072
393	4.460246144
394	4.455930582
395	4.451672605
396	4.447471445
397	4.443326344
398	4.439236555
399	4.435201343
