iter	Passed	Remaining
0	0	224
1	0	191
2	0	182
3	0	175
4	0	170
5	1	166
6	1	163
7	1	161
8	1	159
9	1	157
10	1	155
11	1	154
12	2	152
13	2	151
14	2	150
15	2	145
16	2	144
17	2	144
18	2	144
19	2	143
20	3	144
21	3	143
22	3	143
23	3	142
24	3	142
25	3	142
26	3	142
27	4	141
28	4	141
29	4	141
30	4	141
31	4	140
32	4	140
33	4	140
34	5	140
35	5	139
36	5	139
37	5	137
38	5	137
39	5	136
40	5	135
41	5	135
42	6	135
43	6	135
44	6	135
45	6	135
46	6	134
47	6	134
48	6	134
49	7	133
50	7	133
51	7	133
52	7	133
53	7	133
54	7	131
55	7	131
56	7	131
57	8	131
58	8	131
59	8	131
60	8	130
61	8	130
62	8	130
63	8	130
64	9	130
65	9	130
66	9	130
67	9	130
68	9	130
69	9	130
70	9	130
71	10	130
72	10	130
73	10	129
74	10	128
75	10	128
76	10	128
77	10	128
78	10	128
79	11	127
80	11	127
81	11	126
82	11	126
83	11	126
84	11	126
85	11	126
86	12	126
87	12	126
88	12	126
89	12	126
90	12	126
91	12	126
92	12	125
93	13	125
94	13	125
95	13	125
96	13	125
97	13	124
98	13	124
99	13	124
100	13	124
101	14	124
102	14	124
103	14	124
104	14	124
105	14	123
106	14	123
107	14	123
108	15	122
109	15	122
110	15	122
111	15	122
112	15	122
113	15	121
114	15	121
115	15	121
116	16	121
117	16	121
118	16	121
119	16	120
120	16	120
121	16	120
122	16	120
123	17	120
124	17	120
125	17	120
126	17	119
127	17	119
128	17	119
129	17	119
130	17	119
131	18	119
132	18	118
133	18	118
134	18	118
135	18	118
136	18	118
137	18	118
138	19	117
139	19	117
140	19	117
141	19	117
142	19	117
143	19	116
144	19	116
145	19	116
146	20	116
147	20	116
148	20	116
149	20	116
150	20	116
151	20	115
152	20	115
153	21	115
154	21	115
155	21	115
156	21	115
157	21	115
158	21	115
159	21	115
160	22	114
161	22	114
162	22	114
163	22	114
164	22	114
165	22	114
166	22	114
167	23	114
168	23	113
169	23	113
170	23	113
171	23	113
172	23	113
173	23	112
174	23	112
175	24	112
176	24	112
177	24	112
178	24	112
179	24	111
180	24	111
181	24	111
182	24	111
183	25	111
184	25	111
185	25	111
186	25	111
187	25	110
188	25	110
189	25	110
190	26	110
191	26	110
192	26	110
193	26	110
194	26	110
195	26	109
196	26	109
197	27	109
198	27	109
199	27	109
200	27	109
201	27	109
202	27	108
203	27	108
204	28	108
205	28	108
206	28	108
207	28	108
208	28	108
209	28	108
210	28	107
211	28	107
212	29	107
213	29	107
214	29	107
215	29	107
216	29	107
217	29	106
218	29	106
219	30	106
220	30	106
221	30	106
222	30	106
223	30	105
224	30	105
225	30	105
226	30	105
227	31	105
228	31	105
229	31	104
230	31	104
231	31	104
232	31	104
233	31	104
234	31	104
235	32	103
236	32	103
237	32	103
238	32	103
239	32	103
240	32	103
241	32	103
242	33	102
243	33	102
244	33	102
245	33	102
246	33	102
247	33	102
248	33	102
249	33	101
250	34	101
251	34	101
252	34	101
253	34	101
254	34	101
255	34	101
256	34	100
257	35	100
258	35	100
259	35	100
260	35	100
261	35	100
262	35	100
263	35	100
264	36	99
265	36	99
266	36	99
267	36	99
268	36	99
269	36	99
270	36	99
271	36	98
272	37	98
273	37	98
274	37	98
275	37	98
276	37	98
277	37	98
278	37	97
279	38	97
280	38	97
281	38	97
282	38	97
283	38	97
284	38	97
285	38	97
286	39	96
287	39	96
288	39	96
289	39	96
290	39	96
291	39	96
292	39	96
293	39	96
294	40	95
295	40	95
296	40	95
297	40	95
298	40	95
299	40	95
300	40	95
301	41	95
302	41	94
303	41	94
304	41	94
305	41	94
306	41	94
307	41	94
308	42	94
309	42	93
310	42	93
311	42	93
312	42	93
313	42	93
314	42	93
315	43	93
316	43	92
317	43	92
318	43	92
319	43	92
320	43	92
321	43	92
322	43	92
323	44	92
324	44	91
325	44	91
326	44	91
327	44	91
328	44	91
329	44	91
330	45	91
331	45	90
332	45	90
333	45	90
334	45	90
335	45	90
336	45	90
337	46	90
338	46	89
339	46	89
340	46	89
341	46	89
342	46	89
343	46	89
344	46	89
345	47	88
346	47	88
347	47	88
348	47	88
349	47	88
350	47	88
351	47	88
352	48	87
353	48	87
354	48	87
355	48	87
356	48	87
357	48	87
358	48	87
359	48	87
360	49	86
361	49	86
362	49	86
363	49	86
364	49	86
365	49	86
366	49	86
367	50	85
368	50	85
369	50	85
370	50	85
371	50	85
372	50	85
373	50	85
374	51	85
375	51	84
376	51	84
377	51	84
378	51	84
379	51	84
380	51	84
381	51	84
382	52	83
383	52	83
384	52	83
385	52	83
386	52	83
387	52	83
